# word  syl-la-ble-split   built by gen/build_dictionary.py
# from en_US hyphenation patterns (pyphen). Break points, which are
# conservative: a missing break is safer than a wrong one.
aggravated ag-gra-vat-ed
aggravates ag-gra-vates
aggravating ag-gra-vat-ing
aggravation ag-gra-va-tion
aggregate ag-gre-gate
aggregated ag-gre-gat-ed
aggregates ag-gre-gates
aggregation ag-gre-ga-tion
aggression ag-gres-sion
aggressions ag-gres-sions
aggressive ag-gres-sive
aggressively ag-gres-sive-ly
aggressiveness ag-gres-sive-ness
aggressivity ag-gres-siv-i-ty
aggressor ag-gres-sor
aggressors ag-gres-sors
aggrey ag-grey
aggrieve ag-grieve
aggrieved ag-grieved
aggy ag-gy
aghazadeh ag-haz-adeh
agildo ag-ildo
agile ag-ile
agilis ag-ilis
agility agili-ty
agincourt ag-in-court
aging ag-ing
agitate ag-i-tate
agitated ag-i-tat-ed
agitating ag-i-tat-ing
